"GeneID","Symbol","Description"
"100039441","Gm2237","predicted gene 2237"
"100039448","Gm12380","predicted gene 12380"
"100039452","Gm2244","predicted gene 2244"
"100039459","Gm12691","predicted gene 12691"
"100039462","Gm16400","vomeronasal 2, receptor 121 pseudogene"
"100039467","Gm10487","predicted gene 10487"
"100039471","Vmn2r-ps84","vomeronasal 2, receptor, pseudogene 84"
"100039474","Gm15452","CDC28 protein kinase regulatory subunit 2 pseudogene"
"100039478","Gm11810","predicted gene 11810"
"100039479","Vmn1r186","vomeronasal 1 receptor Vmn1r186"
"100039489","Hmgn2-ps1","high mobility group nucleosomal binding domain 2, pseudogene 1"
"100039493","Gm2267","eukaryotic translation initiation factor 4B pseudogene"
"100039494","Gm11799","predicted gene 11799"
"100039495","Gm15706","predicted gene 15706"
"100039501","Gm2272","poly(A) binding protein, nuclear 1 pseudogene"
"100039521","Gm2287","predicted gene 2287"
"100039522","Gm2288","predicted gene 2288"
"100039525","Rps11-ps4","ribosomal protein S11, pseudogene 4"
"100039532","Gm10029","predicted gene 10029"
"100039535","Ube2srt","ubiquitin-conjugating enzyme E2S, retrotransposed"
"100039542","Tbx3os1","T-box 3, opposite strand 1"
"100039544","Gm16421","helicase-like transcription factor pseudogene"
"100039545","Gm15109","predicted gene 15109"
"100039548","4930412E21Rik","RIKEN cDNA 4930412E21 gene"
"100039550","Gm10486","predicted gene 10486"
"100039551","Tgif2lx2","TGFB-induced factor homeobox 2-like, X-linked 2"
"100039556","Gm2308","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039560","Gm2310","predicted gene 2310"
"100039565","Gm11227","predicted gene 11227"
"100039566","Gm2314","sperm motility kinase 3A pseudogene"
"100039568","Gm2316","predicted gene 2316"
"100039571","Gm10335","ribosomal protein L23A pseudogene"
"100039573","Gm2318","predicted gene 2318"
"100039574","Gm20806","predicted gene, 20806"
"100039580","Gm2324","gem (nuclear organelle) associated protein 8 pseudogene"
"100039581","Gm2325","ras homolog gene family, member A pseudogene"
"100039585","Gm14819","predicted gene 14819"
"100039587","Gm2328","predicted gene 2328"
"100039588","Gm12980","predicted gene 12980"
"100039592","Gm10259","karyopherin (importin) alpha 2 pseudogene"
"100039595","Gm20807","predicted gene, 20807"
"100039596","Tcf24","transcription factor 24"
"100039600","Gm2333","ribosomal protein L17 pseudogene"
"100039601","Gm10163","60S ribosomal protein L21 pseudogene"
"100039614","Gm20809","predicted gene, 20809"
"100039623","Gm15429","anterior pharynx defective 1a homolog pseudogene"
"100039624","Sft2d1rt","SFT2 domain containing 1, retrotransposed"
"100039626","Gm2343","GC-rich promoter binding protein 1-like 1 pseudogene"
"100039628","Gm2345","adhesion regulating molecule 1 pseudogene"
"100039633","Gm2348","predicted pseudogene 2348"
"100039634","Gm2349","ubiquitin-fold modifier conjugating enzyme 1 pseudogene"
"100039635","Gm2350","predicted gene 2350"
"100039636","Atp6v0c-ps2","ATPase, H+ transporting, lysosomal V0 subunit C, pseudogene 2"
"100039639","Gm11539","ribosomal protein L18 pseudogene"
"100039641","E330012B07Rik","RIKEN cDNA E330012B07 gene"
"100039645","Rpl28-ps3","ribosomal protein L28, pseudogene 3"
"100039655","Idi2l","isopentenyl-diphosphate delta isomerase 2 like"
"100039656","Gm12918","ribosomal protein L13 pseudogene"
"100039662","Gm2361","ribosomal protein L15 pseudogene"
"100039668","Gm12397","lysine (K)-specific demethylase 2B pseudogene"
"100039669","Gm15103","ovary testis transcribed pseudogene"
"100039672","Msmp","microseminoprotein, prostate associated"
"100039673","Gm2366","predicted gene 2366"
"100039674","Gm10634","predicted gene 10634"
"100039675","Gm20811","predicted gene, 20811"
"100039678","Gm16419","ribosomal protein S7 pseudogene"
"100039681","Zcwpw2","zinc finger, CW type with PWWP domain 2"
"100039683","Gm13597","Tax1 (human T-cell leukemia virus type I) binding protein 3 pseudogene"
"100039684","5031434O11Rik","RIKEN cDNA 5031434O11 gene"
"100039691","Lncenc1","long non-coding RNA, embryonic stem cells expressed 1"
"100039695","Rpl19-ps1","ribosomal protein L19, pseudogene 1"
"100039700","Gm16423","actin, beta pseudogene"
"100039704","Gm2379","predicted gene 2379"
"100039706","Gm2381","zinc finger protein 936 pseudogene"
"100039707","Mthfsl","5, 10-methenyltetrahydrofolate synthetase-like"
"100039709","Gm2383","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039715","Gm14550","predicted gene 14550"
"100039716","Gm15131","ribosomal protein L13 pseudogene"
"100039720","Gm2387","ribosomal protein 10; DNA segment, Chr X, human DXS648E; 24.6 kDa protein"
