,Name,Term,ES,NES
177,4ZJQV2_26_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26504.310337730272,0.7322718221978076
178,4ZJQV2_28_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26503.030393927715,0.7322364593919595
179,4ZJQV2_27_count,Oxidative Phosphorylation (GO:0006119),26502.224227762246,0.7322141863065836
180,4ZJQV2_17_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26501.838381169266,0.7322035259806167
181,4ZJQV2_16_count,Aerobic Electron Transport Chain (GO:0019646),26499.17008458584,0.7321298052017542
182,4ZJQV2_9_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26497.4051755167,0.7320810435790744
183,4ZJQV2_36_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26496.72475296524,0.7320622445892019
184,4ZJQV2_22_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26495.992276407167,0.7320420074301487
185,4ZJQV2_1_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26495.86718230487,0.7320385512796183
186,4ZJQV2_30_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26494.152775955186,0.731991184966529
187,4ZJQV2_7_count,Oxidative Phosphorylation (GO:0006119),26488.297099348812,0.7318294019612702
188,4ZJQV2_25_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26485.09450083242,0.7317409192721723
189,4ZJQV2_22_count,Oxidative Phosphorylation (GO:0006119),26479.951709688314,0.7315988321552358
190,4ZJQV2_16_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26478.73652369646,0.7315652585044136
191,4ZJQV2_23_count,Oxidative Phosphorylation (GO:0006119),26478.168239317612,0.731549557713398
192,4ZJQV2_21_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26476.23541450341,0.7314961568464956
193,4ZJQV2_26_count,Oxidative Phosphorylation (GO:0006119),26476.044881126014,0.7314908927131649
194,4ZJQV2_5_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26474.14096493446,0.7314382905453991
195,4ZJQV2_2_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26469.404140356717,0.7313074196372044
196,4ZJQV2_29_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26468.095563879782,0.7312712657562302
197,4ZJQV2_33_count,Aerobic Electron Transport Chain (GO:0019646),26465.56925114713,0.731201467764711
198,4ZJQV2_27_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26458.225485200466,0.7309985712243733
199,4ZJQV2_7_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26455.610644841534,0.7309263273557349
200,4ZJQV2_26_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26444.098674222038,0.7306082699682681
201,4ZJQV2_33_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26442.870579571307,0.7305743396717894
202,4ZJQV2_21_count,Oxidative Phosphorylation (GO:0006119),26442.04529612817,0.7305515384065222
203,4ZJQV2_14_count,Aerobic Electron Transport Chain (GO:0019646),26437.587604915938,0.7304283795080192
204,4ZJQV2_22_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26433.102945465835,0.7303044755201162
205,4ZJQV2_13_count,Aerobic Electron Transport Chain (GO:0019646),26430.72155927112,0.7302386816176929
206,4ZJQV2_23_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26427.961618417532,0.7301624288538117
207,4ZJQV2_11_count,Aerobic Electron Transport Chain (GO:0019646),26418.62529440046,0.7299044811119729
208,4ZJQV2_37_count,Aerobic Electron Transport Chain (GO:0019646),26411.55299107835,0.7297090846509889
209,4ZJQV2_14_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26406.59757026308,0.7295721742773962
210,4ZJQV2_13_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26403.66877657667,0.7294912563790521
211,4ZJQV2_11_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26401.8956101964,0.7294422666200358
212,4ZJQV2_38_count,Aerobic Electron Transport Chain (GO:0019646),26401.1300933925,0.7294211166116873
213,4ZJQV2_21_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26398.875749076204,0.729358832673742
214,4ZJQV2_37_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26388.91466808848,0.7290836238932458
215,4ZJQV2_23_count,Aerobic Electron Transport Chain (GO:0019646),26385.97043410246,0.7290022794040496
216,4ZJQV2_6_count,Aerobic Electron Transport Chain (GO:0019646),26380.44938033892,0.7288497414942393
217,4ZJQV2_38_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26379.05880974773,0.728811322246663
218,4ZJQV2_35_count,Aerobic Electron Transport Chain (GO:0019646),26372.97094321409,0.7286431242040398
219,4ZJQV2_31_count,Aerobic Electron Transport Chain (GO:0019646),26371.07323753786,0.7285906936229071
220,4ZJQV2_19_count,Aerobic Electron Transport Chain (GO:0019646),26367.69211219726,0.7284972785223935
221,4ZJQV2_40_count,Aerobic Electron Transport Chain (GO:0019646),26364.936171399797,0.7284211362736833
222,4ZJQV2_35_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26361.40605971506,0.7283236049181037
223,4ZJQV2_6_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26360.484870242522,0.7282981539222072
224,4ZJQV2_10_count,Aerobic Electron Transport Chain (GO:0019646),26354.626376177686,0.7281362930750647
225,4ZJQV2_31_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26353.586647338747,0.7281075670255361
226,4ZJQV2_19_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26353.302529993685,0.7280997173164384
227,4ZJQV2_3_count,Aerobic Electron Transport Chain (GO:0019646),26352.920685191286,0.7280891675535627
228,4ZJQV2_23_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26352.79487033724,0.7280856914898108
229,4ZJQV2_3_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26343.180105405056,0.7278200508695805
230,4ZJQV2_40_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26340.37814442965,0.7277426371567525
231,4ZJQV2_2_count,Aerobic Electron Transport Chain (GO:0019646),26339.050126064874,0.7277059461274258
232,4ZJQV2_10_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26332.328732788243,0.7275202447513224
233,4ZJQV2_25_count,Aerobic Electron Transport Chain (GO:0019646),26325.44279163174,0.72732999717974
234,4ZJQV2_9_count,Aerobic Electron Transport Chain (GO:0019646),26325.09686320028,0.7273204397289093
235,4ZJQV2_34_count,Aerobic Electron Transport Chain (GO:0019646),26312.150606292147,0.7269627552988691
236,4ZJQV2_2_count,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),26308.891681605997,0.7268727164075369
237,4ZJQV2_8_count,Aerobic Electron Transport Chain (GO:0019646),26305.549267340804,0.7267803708322956
238,4ZJQV2_39_count,Aerobic Electron Transport Chain (GO:0019646),26304.218576756473,0.7267436059738045
